GeneName	rank
IGLV3-19	-3.04776562117139
UFD1	-3.0392890286018
CD63	-3.03819133106367
APOBEC3B	-3.03440252907489
ARNTL2	-3.00738819916985
C1QC	-3.00382757761845
HSD17B10	-3.00322318137127
IGHV3-43	-2.95578592728166
SIL1	-2.94425392512347
CHEK1	-2.94296731801576
SPARC	-2.94147594791734
PTTG1	-2.9341866061816
TMEM208	-2.93032865103532
ZDHHC12	-2.92598363693659
MYL6	-2.90960395736765
PLK4	-2.8772990924664
C4orf48	-2.87385412048063
CENPE	-2.87043829429075
ASF1B	-2.83796019524201
PDIA4	-2.82657818453488
MANF	-2.82320103149555
IGHV2-5	-2.78894673600585
WDR62	-2.76974828124956
IGHV3-69-1	-2.75519809551578
DCPS	-2.75110465438272
IGKV1-8	-2.74948719270971
MYL9	-2.74914334058355
PSMD8	-2.71502613158585
MRPL37	-2.70915542709141
PSMB3	-2.70741792046485
CD38	-2.70461089296166
AURKA	-2.69776766896216
IFI27L2	-2.6887731812014
TNNT1	-2.67796926072408
PSAT1	-2.67300165487322
LRP8	-2.65824590662392
CLPTM1L	-2.65386812069473
YWHAE	-2.65225211597939
POMP	-2.65108359680113
ARHGAP18	-2.64968828023564
XK	-2.64640874604532
TFDP1	-2.64415785199056
CDC42BPA	-2.63823698550921
FAM20A	-2.60908714539997
MCM6	-2.57275143448719
CENPU	-2.57229642523669
PDIA5	-2.56077720401119
RPN2	-2.55590469535728
KIF23	-2.53545426954202
IGHV3-15	-2.52948620500319
SCAND1	-2.50695156722261
IGLV8-61	-2.50577584804128
CLIC1	-2.48271097818077
IGKV1-12	-2.48140598720829
YIF1B	-2.48133343407915
PRDX6	-2.45238079307341
CIT	-2.44491428240226
TMEM258	-2.43318951223859
CITED4	-2.42836479083046
TUBG1	-2.42385527667448
SNRNP25	-2.39327451483849
STMN1	-2.38565813339063
IGHV3-48	-2.38108070385289
MAFB	-2.36490481627728
IGHV4-31	-2.33417984856937
IGKV1-6	-2.32991515782973
MPIG6B	-2.31064720579146
FKBP11	-2.30622306300225
UPP1	-2.29420352174433
IGHV6-1	-2.29269502854851
IGHV1-3	-2.28861871355982
IGHV3-74	-2.28404511149549
RNASE2	-2.26985071911059
H2BC8	-2.2688292217945
BMP6	-2.26823694897565
PSMB2	-2.25581499606656
TMEM119	-2.25253627000536
FAM111B	-2.24823979670541
IGKV3D-20	-2.2318093567797
HSP90B1	-2.23045123301079
RAB5IF	-2.22499362519324
SELP	-2.20931532082824
MAD2L1	-2.20407204434077
SMOX	-2.20344489012713
POLE2	-2.19444303849283
H2AC6	-2.15792830821259
IGHV3-53	-2.15223013891825
SEC61G	-2.12998836431196
IGKV1-17	-2.12770706126869
LIMS1	-2.12642837073828
TXNL4A	-2.1191839478828
SH3BGRL3	-2.11689190038023
MT1E	-2.07978727487265
CHCHD2	-2.07513397996706
RPN1	-2.06407649136381
TMED9	-2.05740878866312
CMTM5	-2.04057582678796
ABLIM3	-2.03606105040145
EGFL7	-2.03117130062843
SNRPC	-2.02374642152482
IGLV1-51	-1.9964316506519
ALOX5AP	-1.99569688160197
TXNDC11	-1.98766796173396
LAMC1	-1.98368868663455
EMC7	-1.92157153971181
NAA38	-1.91151613511397
SPATS2	-1.90938058419679
LMNB1	-1.88655537547797
RRBP1	-1.85925422848224
VANGL1	-1.84788564732862
PF4V1	-1.84373904334079
MCUR1	-1.8296761479381
IGLV2-5	-1.81623663041768
BRCA1	-1.81351549799151
ETFA	-1.79941458966022
PF4	-1.79918199096357
PPBP	-1.7954409003951
IGLV4-60	-1.79378922601673
SCN1B	-1.791668516756
IGKV2-24	-1.78666278516678
H3C10	-1.76537871015736
SSR2	-1.75083669054108
LRRC59	-1.74811208676918
TRIM7	-1.74731706658346
NDUFS8	-1.73631959234349
SNCA	-1.72755630663238
B4GALT2	-1.70549483343365
TIMM8B	-1.70425282154134
ATP5MC3	-1.68542892841475
CTSA	-1.68352867679681
TPM4	-1.67299297258184
STOML2	-1.66336259412126
PGRMC1	-1.64364892959085
IGLV5-45	-1.64292426296818
MT2A	-1.64080791544857
CCDC71L	-1.64030869243921
COX5B	-1.63496176809705
FBXO5	-1.62300652813654
GTF3C6	-1.6025812178933
GP9	-1.60112233652027
AURKAIP1	-1.59982789469432
S100A8	-1.58337701801957
IGKV3-20	-1.57740284781591
NRGN	-1.57405631404777
LAMTOR5	-1.57039901001436
ITGB3	-1.5620607071552
IGLV3-9	-1.55018907178347
H2AC11	-1.5498517059576
NDUFS6	-1.52268838983098
NDUFA1	-1.52239173972938
ANP32B	-1.52229455493683
SLC1A4	-1.50078226429362
MPDU1	-1.48133306734351
IGLV2-8	-1.46496935981298
SNRPE	-1.46465630646331
NDUFB7	-1.4582236581579
EGF	-1.45311443761271
ABCB9	-1.4521647232105
ALYREF	-1.45002606542907
S100A12	-1.44627485933565
SAPCD2	-1.43012054981445
H2BC11	-1.42861760737581
IGHV3-64	-1.42675899836569
TMEM158	-1.42539355470601
DAD1	-1.40521454517876
IGLV7-43	-1.39062772818508
RAD51AP1	-1.385017871881
LMAN2	-1.3729864170912
NDUFB3	-1.36698872689634
MFSD2B	-1.36036849101913
IFITM3	-1.35828342517613
HSPA5	-1.34566068955467
IGKV1D-8	-1.34004327246131
CHMP2A	-1.33927096001808
CDK5	-1.33554361232384
SQLE	-1.33190018737499
PRKAR2B	-1.32758518461865
UQCR10	-1.32533613205167
MSRB3	-1.32529857660611
PSMB7	-1.32327368688957
ADM	-1.31671911841159
IGKV1-9	-1.30719235363002
PKHD1L1	-1.30574270330086
TUFM	-1.30208584829038
TTC7B	-1.28326208576567
UQCRQ	-1.281171868841
ELOVL7	-1.28024518085066
TNFRSF13B	-1.27780631012978
ITGA1	-1.27677809722095
DHCR24	-1.27048257398802
DCTN3	-1.26815048013753
